Id,ElapsedTime
IXI476-IOP-1140-,14.896
IXI477-IOP-1141-,14.491
IXI478-IOP-1142-,17.072
IXI479-Guys-1034-,13.271
IXI056-HH-1327-,12.159
IXI480-Guys-1033-,18.680
IXI481-HH-2175-,18.981
IXI482-HH-2178-,18.774
IXI483-HH-2177-,16.064
IXI484-HH-2179-,15.991
IXI485-HH-2180-,19.823
IXI486-Guys-1005-,14.552
IXI487-Guys-1037-,14.871
IXI488-Guys-1015-,15.042
IXI489-Guys-1014-,14.774
IXI057-HH-1342-,11.624
IXI490-Guys-1018-,14.293
IXI491-Guys-1032-,13.804
IXI492-Guys-1022-,15.754
IXI493-Guys-1007-,16.684
IXI494-Guys-1008-,11.996
IXI495-Guys-1009-,15.624
IXI496-Guys-1045-,12.990
IXI497-Guys-1002-,16.569
IXI498-Guys-1050-,12.506
IXI499-Guys-1004-,14.965
IXI058-Guys-0726-,13.236
IXI500-Guys-1017-,16.321
IXI501-Guys-1016-,15.448
IXI502-Guys-1020-,12.685
IXI503-Guys-1021-,13.873
IXI504-Guys-1025-,15.757
IXI505-Guys-1026-,10.663
IXI506-Guys-1035-,14.754
IXI507-Guys-1036-,13.870
IXI508-HH-2268-,14.187
IXI510-IOP-1143-,16.048
IXI059-HH-1284-,11.405
IXI511-HH-2238-,15.559
IXI512-Guys-1054-,11.533
IXI515-HH-2377-,16.284
IXI516-HH-2297-,18.187
IXI517-IOP-1144-,16.376
IXI518-HH-2239-,18.008
IXI519-HH-2240-,15.806
IXI521-HH-2353-,18.770
IXI522-HH-2453-,17.070
IXI523-Guys-1056-,14.956
IXI060-Guys-0709-,12.792
IXI524-HH-2412-,12.121
IXI525-HH-2413-,17.015
IXI526-HH-2392-,14.618
IXI527-HH-2376-,18.247
IXI528-Guys-1073-,19.122
IXI531-Guys-1057-,18.918
IXI532-IOP-1145-,18.687
IXI533-Guys-1066-,8.920
IXI534-Guys-1062-,8.778
IXI535-Guys-1061-,9.863
IXI061-Guys-0715-,10.557
IXI536-Guys-1059-,9.629
IXI537-HH-2378-,11.380
IXI538-HH-2411-,10.751
IXI539-Guys-1067-,8.963
IXI541-IOP-1146-,10.601
IXI542-IOP-1147-,11.488
IXI543-IOP-1148-,10.928
IXI544-HH-2395-,9.046
IXI546-HH-2450-,9.188
IXI547-IOP-1149-,11.640
