Id,ElapsedTime
OAS1_0244_MR1_mpr_n4_anon_sbj_111,12.511
OAS1_0246_MR1_mpr_n4_anon_sbj_111,12.638
OAS1_0247_MR1_mpr_n4_anon_sbj_111,13.490
OAS1_0249_MR1_mpr_n4_anon_sbj_111,12.204
OAS1_0249_MR2_mpr_n4_anon_sbj_111,10.142
OAS1_0250_MR1_mpr_n3_anon_sbj_111,11.937
OAS1_0253_MR1_mpr_n4_anon_sbj_111,17.225
OAS1_0027_MR1_mpr_n4_anon_sbj_111,10.371
OAS1_0254_MR1_mpr_n6_anon_sbj_111,10.072
OAS1_0255_MR1_mpr_n4_anon_sbj_111,14.774
OAS1_0256_MR1_mpr_n4_anon_sbj_111,14.949
OAS1_0258_MR1_mpr_n3_anon_sbj_111,16.509
OAS1_0259_MR1_mpr_n4_anon_sbj_111,13.434
OAS1_0260_MR1_mpr_n4_anon_sbj_111,11.904
OAS1_0261_MR1_mpr_n4_anon_sbj_111,12.699
OAS1_0262_MR1_mpr_n4_anon_sbj_111,11.205
OAS1_0263_MR1_mpr_n4_anon_sbj_111,11.725
OAS1_0264_MR1_mpr_n4_anon_sbj_111,12.076
OAS1_0028_MR1_mpr_n4_anon_sbj_111,9.789
OAS1_0265_MR1_mpr_n4_anon_sbj_111,15.951
OAS1_0266_MR1_mpr_n4_anon_sbj_111,17.501
OAS1_0267_MR1_mpr_n3_anon_sbj_111,12.378
OAS1_0268_MR1_mpr_n4_anon_sbj_111,12.506
OAS1_0269_MR1_mpr_n4_anon_sbj_111,12.318
OAS1_0270_MR1_mpr_n4_anon_sbj_111,9.902
OAS1_0271_MR1_mpr_n4_anon_sbj_111,9.119
OAS1_0272_MR1_mpr_n4_anon_sbj_111,10.956
OAS1_0273_MR1_mpr_n3_anon_sbj_111,12.318
OAS1_0274_MR1_mpr_n4_anon_sbj_111,18.311
OAS1_0029_MR1_mpr_n4_anon_sbj_111,15.329
OAS1_0275_MR1_mpr_n4_anon_sbj_111,10.859
OAS1_0277_MR1_mpr_n4_anon_sbj_111,12.208
OAS1_0278_MR1_mpr_n4_anon_sbj_111,14.920
OAS1_0279_MR1_mpr_n4_anon_sbj_111,10.165
OAS1_0280_MR1_mpr_n4_anon_sbj_111,9.795
OAS1_0281_MR1_mpr_n4_anon_sbj_111,10.481
OAS1_0282_MR1_mpr_n4_anon_sbj_111,10.666
OAS1_0283_MR1_mpr_n4_anon_sbj_111,12.807
